"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",title,slug,publishDate,content,eyecatch,categories
,地域企業の強みを伝えるコーポレートサイト設計,local-company-corporate-site,2026-07-08T00:00:00.000Z,<p>地域に根ざした企業を想定し、事業内容と会社の強みが初めての訪問者にも伝わるコーポレートサイトを設計しました。情報量が多くなりすぎないよう、トップページでは「何をしている会社か」「誰の役に立つか」「どの地域に対応するか」を優先して配置しています。</p><p>デザインは信頼感を重視し、落ち着いた配色と十分な余白を採用しました。サービス紹介、会社案内、実績、お知らせ、お問い合わせを自然な順序でつなぎ、スマートフォンでも目的の情報へ迷わず移動できるナビゲーションにしています。</p><p>実装にはNext.jsとTypeScriptを想定し、お知らせや実績はCMSから更新できる構成です。静的生成と再検証を使い分け、表示速度と更新性の両立を目指したサンプルです。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/205d255b60de4bbca0570c826355e92a/dx-image26.jpg,corporate
,製造業向け技術紹介サイトのリニューアル,manufacturing-technology-renewal,2026-07-06T00:00:00.000Z,<p>製造業の技術力を分かりやすく伝えることを目的に、既存サイトの情報構造を見直したリニューアル案です。専門用語だけに頼らず、対応できる加工、設備、品質管理、納品までの流れを段階的に説明しています。</p><p>製品写真や設備写真を大きく見せながら、用途別・業種別に情報を探せる構成にしました。問い合わせ前に必要な判断材料をそろえることで、担当者同士の認識違いを減らすことも意識しています。</p><p>Next.jsの動的ルートで技術・設備・事例の詳細ページを生成し、CMSから追加できる設計を想定しています。画像サイズを事前に確保し、読み込み時のレイアウト移動を抑える実装も取り入れています。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/ed033dca4a5542d097725dc4f545a3f7/dx-image46.jpg,"corporate,service"
,士業事務所の信頼感を高めるWebサイト制作,professional-office-trust-site,2026-07-04T00:00:00.000Z,<p>税理士・社労士などの士業事務所を想定し、専門性と相談しやすさを両立するWebサイトを制作しました。サービス名だけでなく、どのような悩みを解決できるのかを利用者目線で整理しています。</p><p>代表者の考え方、相談の流れ、料金の目安、よくある質問を掲載し、初回相談までの不安を減らす構成にしました。堅くなりすぎないよう、写真とイラストを組み合わせて親しみやすさも加えています。</p><p>WordPressでもNext.jsでも運用できるよう、更新頻度の高い部分と固定情報を分けて設計しています。問い合わせフォームは入力項目を絞り、スマートフォンからでも短時間で送信できるUIです。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/5cd08e3bd5d14d69a5753bdfa851fcf7/Web-img20.jpg,"corporate,service"
,建設会社の施工実績を見せる企業サイト,construction-project-gallery,2026-07-02T00:00:00.000Z,<p>建設会社の施工品質と対応範囲を伝えるため、施工実績を中心に構成した企業サイトのサンプルです。住宅、店舗、公共施設などの分類から実績を探せるようにし、写真だけでなく工期や施工内容も掲載できる設計にしています。</p><p>トップページでは実績写真を主役にしながら、会社の方針、安全への取り組み、対応エリアへ自然につなげました。採用情報や協力会社募集への導線も用意し、企業サイトとして必要な情報を一つにまとめています。</p><p>CMSで実績を追加すると一覧と詳細ページへ自動反映される構成を想定しています。Next.jsのImageコンポーネントを使い、適切な画像サイズと遅延読み込みで表示負荷を抑えています。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/9a70c66181a04547ba8a799b386de845/Web-img9.jpg,corporate
,NPO法人の活動と支援方法を伝えるサイト,npo-activity-support-site,2026-06-30T00:00:00.000Z,<p>NPO法人の活動内容を分かりやすく伝え、参加や寄付につなげるためのサイト設計です。理念だけでなく、具体的な活動、支援によって生まれた変化、今後の目標を順序立てて紹介しています。</p><p>支援方法は寄付、ボランティア、イベント参加に分け、それぞれの流れと必要事項を掲載しました。活動報告や会計情報にもアクセスしやすくし、透明性と信頼感を高める構成です。</p><p>お知らせと活動報告はCMSで更新し、SNSへの共有にも対応する想定です。アクセシビリティを考慮し、文字のコントラストやキーボード操作、画像の代替テキストにも配慮しています。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/718b2e8b9fcb4db68caba7b4ed8cdd1e/dx-image3.jpg,"corporate,service"
,スタートアップ向けサービス一体型企業サイト,startup-service-corporate-site,2026-06-28T00:00:00.000Z,<p>新しいサービスを提供するスタートアップを想定し、会社紹介とサービス紹介を一体化したWebサイトを設計しました。短い時間でも価値が伝わるよう、課題、解決方法、導入メリットをファーストビューから順番に提示しています。</p><p>実績が少ない段階でも信頼感を補えるよう、開発背景、チーム紹介、導入までの流れ、セキュリティへの考え方を掲載しました。資料請求と問い合わせの導線は目的別に分けています。</p><p>ReactとTypeScriptで再利用可能なセクションコンポーネントを作り、事業内容の変化に合わせて更新しやすい構成を想定しています。将来の多言語化や採用ページ追加にも対応できる設計です。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/0ad18f37d3c7491cbcb1a68963d233bf/Web-img13.jpg,"corporate,service"
,観光施設の魅力を写真で伝える公式サイト,tourism-facility-official-site,2026-06-26T00:00:00.000Z,<p>観光施設の雰囲気と利用方法を同時に伝えるため、写真を中心にした公式サイトを制作しました。営業時間、料金、アクセス、イベント情報など、来館前に確認したい情報をトップページからすぐ見つけられる構成です。</p><p>季節ごとの写真やイベントを大きく見せつつ、重要情報が画像に埋もれないようカード型の案内を組み合わせました。スマートフォンでは地図アプリや電話へ直接移動できる導線も配置しています。</p><p>CMSでイベントや営業情報を更新し、公開期間を設定できる運用を想定しています。画像配信は適切なサイズに最適化し、低速回線でも主要情報が先に読めるよう設計しています。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/cfb78384fd324d7e8302912e6731cf1f/Web-img2.jpg,"corporate,service"
,老舗企業のブランドを再整理するサイト制作,heritage-company-brand-renewal,2026-06-24T00:00:00.000Z,<p>長い歴史を持つ企業を想定し、伝統と現在の事業を一つの流れで紹介するコーポレートサイトを設計しました。沿革を並べるだけではなく、受け継いできた価値観が現在の商品やサービスにどう生きているかを伝えています。</p><p>デザインは落ち着いた色と上品な書体を使い、写真や余白でブランドの空気感を表現しました。年表はスマートフォンでも読みやすい縦型レイアウトにし、主要な出来事を選んで表示しています。</p><p>実装はNext.jsとCSS Modulesを想定し、アニメーションは必要最小限に抑えました。初期表示を優先し、スクロールに合わせた演出もレイアウトを妨げない範囲で適用しています。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/bc1bc915d66743f09d682a93125352a7/Web-img10.jpg,"corporate,ui-design"
,複数事業を整理したグループ企業サイト,group-company-multi-business-site,2026-06-22T00:00:00.000Z,<p>複数の子会社や事業部を持つグループ企業向けに、情報を迷わず探せるサイト構成を考えました。事業領域、グループ会社、ニュース、採用情報を明確に分け、閲覧者の目的に応じて入口を用意しています。</p><p>トップページではグループ全体の役割を示し、その後に各事業の詳細へ進める構成です。会社ごとに異なる情報を掲載しながらも、共通のデザインルールで一体感を保っています。</p><p>CMSのコンテンツモデルを事業、会社、ニュースに分け、関連情報を参照でつなぐ設計を想定しています。TypeScriptでデータ型を定義し、更新時の入力ミスを減らす構成です。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/fbf6fecf79a84f0798bbcef771804753/dx-image17.jpg,corporate
,社員の声を中心にした採用サイト制作,employee-voice-recruitment-site,2026-06-20T00:00:00.000Z,<p>求職者が働く姿を具体的に想像できるよう、社員インタビューを中心にした採用サイトを制作しました。仕事内容、入社理由、一日の流れ、成長の実感を職種ごとに掲載できる構成です。</p><p>募集要項だけでは伝わりにくい職場の雰囲気を、写真と短いコメントで補いました。選考フロー、よくある質問、福利厚生も整理し、応募前に感じる不安を減らしています。</p><p>インタビュー記事はCMSから追加でき、職種や拠点で絞り込める想定です。Next.jsで記事ページを静的生成し、更新時だけ再生成することで表示速度と運用性を両立します。</p>,https://images.microcms-assets.io/assets/077fc2c1278c4770964639a095f838ce/8353ac56d9c344bb8d44b1767c0da82c/paperless_10.jpg,recruit
