"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",title,slug,publishDate,content,eyecatch,categories
,Next.jsとmicroCMSで制作実績を管理するポートフォリオサイト,nextjs-microcms-portfolio-management,2026-07-11T00:00:00.000Z,"制作実績や技術記事を継続的に更新できるよう、Next.jsとmicroCMSを組み合わせたポートフォリオサイトを設計しました。実績、カテゴリー、記事をそれぞれ管理し、管理画面から追加した内容が一覧ページと詳細ページへ反映される構成です。

閲覧者が目的の実績を探しやすいよう、カテゴリー絞り込みと関連記事表示を用意しました。画像の縦横比を事前に確保し、読み込み時のレイアウト移動やカクつきを抑えています。

TypeScriptでCMSレスポンスの型を定義し、静的生成と再検証を使い分けています。更新性を保ちながら、初期表示の速いサイトを目指したサンプルです。",,"corporate,web-app"
,Excelの転記作業をPythonで自動化する業務改善ツール,python-excel-transfer-automation,2026-07-10T00:00:00.000Z,"毎月繰り返していたExcelファイル間の転記作業を効率化するため、Pythonを使った業務自動化ツールを作成しました。複数ファイルを選択し、氏名や指定セルを基準に必要なデータだけを対象シートへ転記します。

元ファイルの不足や列構成の違いがある場合は処理を停止し、対象ファイルと原因を表示します。元データを残したまま別ファイルへ出力することで、誤操作時にも確認できる設計です。

PythonとデスクトップGUIを組み合わせ、コマンド操作なしで使える構成にしました。作業時間の削減だけでなく、転記漏れやコピー先の間違いを防ぐことも目的としています。",,automation
,ReactとTypeScriptで構築する問い合わせ管理画面,react-typescript-inquiry-dashboard,2026-07-09T00:00:00.000Z,"Webフォームから届いた問い合わせを一覧で確認し、担当者や対応状況を管理できる画面をReactとTypeScriptで設計しました。未対応、対応中、完了の状態を分かりやすく表示し、検索や絞り込みにも対応します。

詳細画面では問い合わせ内容、対応履歴、社内メモを時系列で確認できます。ステータス変更や削除には確認表示を設け、誤操作を防ぐUIにしています。

一覧、検索条件、詳細、入力フォームを独立したコンポーネントに分けました。APIレスポンスとフォームデータの型を統一し、機能追加時の不整合を減らしています。",,"web-app,ui-design"
,中小企業向けコーポレートサイトの情報整理,small-business-corporate-information-design,2026-07-08T00:00:00.000Z,"事業内容が複数あり、初めての訪問者に会社の特徴が伝わりにくい中小企業を想定して、情報構造を整理しました。会社概要、サービス、実績、採用、お知らせの役割を分けています。

トップページでは会社の強みと主要サービスを優先し、詳細情報へ段階的に進める構成にしました。文字量が多くなりすぎないよう、見出しと要約を使って読みやすくしています。

Next.jsのApp Routerを想定し、更新頻度の高いお知らせと実績だけをCMS管理にしています。固定情報と更新情報を分けることで、運用負担を抑えます。",,"corporate,ui-design"
,採用応募につなげる社員インタビューページ,employee-interview-recruitment-page,2026-07-07T00:00:00.000Z,"仕事内容や職場の雰囲気を具体的に伝えるため、社員インタビューを中心にした採用コンテンツを制作しました。入社理由、一日の流れ、担当業務、成長実感を共通項目として整理しています。

職種ごとに記事を絞り込めるようにし、応募者が自分に近い働き方を探せる構成です。写真と文章の比率を調整し、長文でも読み進めやすいレイアウトにしています。

インタビューはCMSから追加でき、職種と拠点を参照データとして管理します。追加時に一覧と詳細ページへ自動反映される設計です。",,"recruit,ui-design"
,BtoBサービスの問い合わせ獲得LP,b2b-service-inquiry-landing-page,2026-07-06T00:00:00.000Z,"法人向けサービスへの問い合わせを増やすため、対象企業の課題、解決方法、導入効果を一ページにまとめたランディングページです。サービスの特徴だけでなく、利用場面が想像できる構成にしました。

導入事例、支援範囲、料金の考え方、よくある質問を順番に配置しています。問い合わせボタンは必要な位置に限定し、過度に追従させない設計です。

フォームは入力項目を最小限にし、サーバー側でも入力値を検証します。アクセス解析とコンバージョン計測を実装し、公開後に改善できる構成です。",,"landing-page,service"
,医療施設サイトの診療案内ページ改善,medical-facility-service-guide-improvement,2026-07-05T00:00:00.000Z,"診療科や検査内容の情報が複雑になっていた医療施設サイトを想定し、利用者が受診方法を判断しやすい案内ページへ整理しました。対象となる症状、予約の要否、受付時間を明確にしています。

緊急時の案内と通常受診の情報を混在させず、重要度に応じて表示を分けました。高齢者の閲覧も考慮し、文字サイズとコントラストを確保しています。

更新頻度の高い診療時間や休診情報はCMSで管理します。公開日と更新日を表示し、古い情報が残りにくい運用を想定しています。",,"medical,ui-design"
,小規模ECサイトの商品詳細ページ設計,small-ec-product-detail-design,2026-07-04T00:00:00.000Z,"少数の商品を丁寧に販売するブランド向けに、商品詳細ページを設計しました。写真、価格、サイズ、素材、配送、返品条件を一つのページで確認できます。

購入ボタンだけを強調するのではなく、購入判断に必要な情報を近くに配置しました。スマートフォンでは写真が長く続きすぎないよう、説明との順序を調整しています。

EC基盤の標準機能を優先し、独自実装を必要最小限にします。商品画像は複数サイズを配信し、表示速度を落とさない構成です。",,"ec,ui-design"
,社内申請を一元管理するワークフローアプリ,internal-request-workflow-app,2026-07-03T00:00:00.000Z,"経費、休暇、備品購入などの申請を一つのWebアプリで管理する構成を考えました。申請者、承認者、管理者で表示する画面と操作権限を分けています。

申請種別によって入力項目を切り替え、承認者は一覧から内容を確認できます。差し戻し理由やコメントを履歴として残し、やり取りを追えるUIにしています。

状態変更はサーバー側で検証し、誰がいつ操作したかを記録します。メールやチャット通知と連携し、承認待ちの放置を減らす設計です。",,"web-app,automation"
,AIを使った記事下書き支援機能の設計,ai-article-draft-support,2026-07-02T00:00:00.000Z,"お知らせやブログ記事の下書きを作成するAI支援機能を想定しました。目的、対象者、含めたい情報を入力すると、編集可能な文章案を生成します。

生成結果をそのまま公開しないよう、確認項目と編集画面を用意します。事実確認、表現、権利関係を担当者が確認してから保存する流れです。

API利用回数と文字数を制御し、費用と応答時間を管理します。入力データの扱いと保存範囲を明確にし、機密情報を不用意に送信しない設計にします。",,"ai,web-app"
,サービスサイトの料金比較UI,service-pricing-comparison-ui,2026-07-01T00:00:00.000Z,"複数の料金プランを比較しやすくするため、対応範囲と向いている利用者を整理した料金ページを設計しました。価格だけでなく、各プランの違いが一目で分かる構成です。

デスクトップでは比較表、スマートフォンではプランごとのカード表示に切り替えます。色だけで差を示さず、アイコンや文言も組み合わせています。

料金と機能はCMSから更新できる想定です。変更時に表示崩れが起きにくいよう、項目数の上限と表示ルールを決めています。",,"service,ui-design"
,製造業の設備紹介ページをCMS化,manufacturing-equipment-cms,2026-06-30T00:00:00.000Z,"製造設備の追加や更新を社内で行えるよう、設備紹介ページをCMS化する構成です。設備名、対応加工、仕様、写真、導入年を共通項目として管理します。

加工内容や設備カテゴリから絞り込める一覧を用意し、詳細ページでは関連する施工実績も表示します。専門情報を読みやすく整理しています。

設備と実績を参照フィールドで関連付け、重複入力を減らします。Next.jsで詳細ページを生成し、更新時だけ再検証する構成です。",,"corporate,service"
,オンライン相談予約のステップフォーム,online-consultation-step-form,2026-06-29T00:00:00.000Z,"相談内容、希望日時、連絡先を段階的に入力する予約フォームを設計しました。一画面にすべての項目を表示せず、現在位置が分かるステップ形式にしています。

前の画面へ戻っても入力内容を保持し、確認画面から各項目へ直接戻れる構成です。エラーは該当箇所の近くに具体的に表示します。

Reactのフォーム管理とサーバー側検証を組み合わせます。予約枠は送信直前にも再確認し、重複予約を防ぐ設計です。",,"service,web-app,ui-design"
,採用説明会のイベント管理ページ,recruitment-event-management-page,2026-06-28T00:00:00.000Z,"採用説明会や会社見学の日程を掲載し、申し込みを受け付けるページを設計しました。開催形式、対象者、定員、締切をイベントごとに管理します。

受付中、残りわずか、受付終了の状態を明確に表示し、参加可能なイベントを探しやすくしました。申し込み後の案内も同じページから確認できます。

イベントはCMSで管理し、公開期間と受付期限に応じて表示を切り替えます。申し込み情報は別の安全なシステムへ送信する構成です。",,"recruit,web-app"
,顧客情報を検索できる管理ダッシュボード,customer-search-admin-dashboard,2026-06-27T00:00:00.000Z,"顧客情報、契約状況、対応履歴を検索できる管理ダッシュボードです。氏名、会社名、担当者、ステータスから必要な情報を絞り込めます。

一覧では判断に必要な情報だけを表示し、詳細は個別ページへ分けました。検索条件をURLに保持し、詳細から戻っても同じ一覧状態を再現します。

大量データはサーバー側で検索とページングを行います。権限によって閲覧できる顧客範囲を制御し、APIでも認可を確認します。",,"web-app,ui-design"
,地域イベント告知サイトの制作,local-event-promotion-site,2026-06-26T00:00:00.000Z,"地域イベントの開催内容と参加方法を分かりやすく伝える告知サイトです。日時、会場、対象者、参加費、プログラムを最初に確認できる構成にしました。

イベントの雰囲気が伝わる写真を使いつつ、重要情報が画像に埋もれないようカード型で整理しています。地図と交通案内も掲載します。

開催終了後は自動的にアーカイブ表示へ切り替える想定です。申し込みフォームと連携し、受付状況を管理できます。",,"landing-page,service"
,医療従事者向け資料ダウンロードサイト,medical-document-download-portal,2026-06-25T00:00:00.000Z,"医療従事者が研修資料やガイドラインを検索し、ダウンロードできる会員サイトを想定しました。資料カテゴリ、対象職種、更新日で絞り込めます。

各資料には概要、対象者、版数、更新日を表示し、古い資料との混同を防ぎます。利用権限のない資料は一覧にも表示しません。

認証と認可をサーバー側で行い、ファイルURLを知っているだけでは取得できない構成にします。ダウンロード履歴と公開状態も管理します。",,"medical,web-app"
,定期購入ECのマイページ改善,subscription-ec-account-improvement,2026-06-24T00:00:00.000Z,"定期購入商品の配送間隔、次回発送日、数量、支払い方法を利用者自身で確認・変更できるマイページを設計しました。

変更可能な期限と反映時期を操作前に表示し、休止と解約の違いも分かりやすく案内します。重要な操作には確認画面を設けています。

EC基盤のAPIと連携し、画面表示と実際の契約情報が一致するようにします。更新後は最新状態を再取得し、完了内容を明確に表示します。",,"ec,ui-design"
